postal_cd,prefecture,city,town,full_address,longitude,latitude
055-0007,Hokkaido,"Hidaka-cho, Saiku-gun",West of the Tomikawa,"Hidaka-cho, Hidaka-cho, Hokkaido, Tomikawa Nishi",141.98914,42.53391
310-0901,Ibaraki Prefecture,Mito City,Tano town,"Tano-cho, Mito City, Ibaraki Prefecture",140.40349,36.41624
869-0522,Kumamoto Prefecture,Ujo-shi,Matsuhashi Town Uchida,"Uchida, Matsuhashi-cho, Uki City, Kumamoto Prefecture",130.72072,32.63007
987-0004,Miyagi Prefecture,"Misato-cho, Toda-gun",Cow,"Beef Kai, Misato-cho, Tomoda-gun, Miyagi Prefecture",141.05293,38.55532
950-0855,Niigata Prefecture,"Higashi-ku, Niigata City",Gangsan,"Konan, Higashi-ku, Niigata City, Niigata Prefecture",139.07867,37.90134
874-0033,Oita Prefecture,Beppu City,Superior,"Beppu City, Oita Prefecture Kamino Minami",131.49646,33.31123
087-0036,Hokkaido,Nemuro City,Hood,Hokkaido Nemuro City Horosojiri,145.5201,43.29252
929-2246,Ishikawa Prefecture,Nanao City,Nakajima Town Tsuchikawa,"Tsuchikawa, Nakajima-cho, Nanao City, Ishikawa Prefecture",136.80804,37.10925
093-0501,Hokkaido,"Sorama-cho, Tokoro-gun",Miyamae Town,"Miyamae-cho, Sorama-cho, Tokoro-gun, Hokkaido",143.76978,44.01695
879-2114,Oita Prefecture,Oita city,Very flat,"Ohira City, Oita Prefecture",131.82086,33.23328
421-0126,Shizuoka Prefecture,"Suruga-ku, Shizuoka City",Somoute Town,"Somoutomachi for Suruga-ku, Shizuoka City, Shizuoka Prefecture",138.36086,34.93072
355-0003,Saitama,Higashimatsuyama City,Tonoyama Town,"Tonoyama-cho, Higashi-Matsuyama City, Saitama Prefecture",139.41551,36.0577
861-0571,Kumamoto Prefecture,Yamaga City,Kao Town Chatan,"Chatan, Kao-cho, Yamaga City, Kumamoto Prefecture",130.65779,32.95337
167-0022,Tokyo,Suginami,Underwater grass,"Suginami-ku, Tokyo Shimoigusa",139.62378,35.72037
680-1216,Tottori prefecture,Tottori City,Kawaramachi Kamaguchi,"Kamaguchi, Kawaramachi, Tottori City, Tottori Prefecture",134.22218,35.3723
999-1431,Yamagata Prefecture,"Oguni-cho, Nishiokuma-gun",Grilled mountain,"Yakiyama, Oguni-cho, Nishiokitama-gun, Yamagata Prefecture",139.74744,38.162
950-0884,Niigata Prefecture,"Higashi-ku, Niigata City",Ensemble,"Enoki, Higashi-ku, Niigata City, Niigata Prefecture",139.08566,37.92766
682-0911,Tottori prefecture,Kurayoshi City,Temple valley,"Teratani, Kurayoshi City, Tottori Prefecture",133.81062,35.45601
100-6408,Tokyo,Chiyoda Ward,Marunouchi,"8th floor of Marunouchi Tokyo Building, Chiyoda-ku, Tokyo",139.76344,35.68002
410-2122,Shizuoka Prefecture,Izu no Kuni City,Temple family,"Izu-no-kuni City Family, Shizuoka Prefecture",138.94427,35.04733
031-0073,Aomori Prefecture,Hachinohe City,Selling market,"Hachinohe City, Aomori Prefecture",141.48079,40.5167
630-2205,Nara Prefecture,"Yamazoe Village, Yamabe-gun",Kiriyama,"Kiriyama, Yamazoe Village, Yamabe-gun, Nara Prefecture",135.97305,34.68473
160-6110,Tokyo,Shinjuku ward,Nishi-Shinjuku Sumitomo Real Estate Shinjuku Grand Tower,"Shinjuku-ku, Tokyo, Sumitomo Nishi-Shinjuku Real Estate Shinjuku Grand Tower 10th floor",139.68762,35.68754
781-5606,Kochi Prefecture,Konan City,Yasu-cho Kamiyasu,"Kamiju-machi, Konami-shi, Kochi-shi, Kochi",133.78659,33.5525
038-2501,Aomori Prefecture,"Fukaura-cho, Nishizugaru-gun",Yanagida,"Yanagida, Fukaura-cho, Nishizu-gun, Aomori Prefecture",140.13939,40.73451
445-0843,Aichi prefecture,Nishio City,Tenjin-cho,"Tenjin-cho, Nishio City, Aichi Prefecture",137.04987,34.87078
940-2529,Niigata Prefecture,Nagaoka City,Teradomari Yamatada,"Nagaoka City, Niigata Prefecture, Teradomari Yamadomari",138.76134,37.61961
221-0055,Kanagawa Prefecture,"Kanagawa-ku, Yokohama",Ono town,"Ono-cho, Kanagawa-ku, Yokohama-shi, Kanagawa",139.63002,35.46732
811-5313,Nagasaki Prefecture,Iki city,Ashibe Town Moriyoshi Nakago,"Ashibe-cho, Ashiki-shi, Nagasaki, Nagasaki Prefecture",129.75107,33.79322
606-8305,Kyoto,"Sakyo-ku, Kyoto",Yoshida Kawaramachi,"Yoshida Kawaramachi, Sakyo-ku, Kyoto-shi, Kyoto",135.77286,35.0241
729-4203,Hiroshima,Third,Yoshimachi Yasuda,"Yasuda, Yoshihamachi, Miyoshi City, Hiroshima Prefecture",133.03093,34.73336
049-4434,Hokkaido,"Citana-cho, Kuon-gun",Kitahiyama-ku Nishinwa,"Nishinwa, Kitahiyama-ku, Kitahiyama-ku, Kuon-gun, Hokkaido",139.91469,42.43018
898-0024,Kagoshima prefecture,Makurazaki City,Nishi-Yakaga,"Nishikago, Makurazaki City, Kagoshima Prefecture",130.26619,31.29701
785-0217,Kochi Prefecture,"Tsuno-cho, Takaoka-gun",Black river,"Kurokawa, Tsuno-cho, Takaoka-gun, Kochi Prefecture",133.15562,33.45223
739-0022,Hiroshima,Higashihiroshima City,Saijo-cho Kami Miyanaga,"Higashihiroshima City, Hiroshima Prefecture Saijo-cho",132.79727,34.39644
105-0014,Tokyo,Minato-ku,Turf,"1-chome Shiba, Minato-ku, Tokyo",139.75478,35.65098
600-8349,Kyoto,"Shimogyo-ku, Kyoto",Sakai-cho,"Sakaicho, Shimogyo-ku, Kyoto-shi, Kyoto",135.75339,34.99207
925-0564,Ishikawa Prefecture,"Shiga-cho, Hakui-gun",Seeing a liquor,"Shiga-cho, Hakui-gun, Ishikawa",136.70161,37.16394
950-0165,Niigata Prefecture,"Gangnam-ku, Niigata City",Western town,"Nishigata City, Niigata City, Niigata Prefecture",139.10667,37.875
016-0875,Akita,Noshiro City,Nanyozaki,"Minami-Yosaki, Noshiro City, Akita Prefecture",140.01436,40.18642
822-1101,Fukuoka Prefecture,"Fukuchi-cho, Tagawa-gun",Red pond,"Akaike, Fukuchi-cho, Tagawa-gun, Fukuoka Prefecture",130.76212,33.69318
038-2300,Aomori Prefecture,"Fukaura-cho, Nishizugaru-gun",,"Fukaura-cho, Nishizu-gun, Aomori Prefecture",139.93459,40.65416
603-8345,Kyoto,"Kita-ku, Kyoto",Hirano Hatchoyanagicho,"Hirano Hatchoyanagicho, Kita-ku, Kyoto-shi, Kyoto",135.73006,35.03096
879-5407,Oita Prefecture,Yufu City,Shonai-cho Minami Otsuru,"Minami-Otsuru, Shonai-cho, Yufu City, Oita Prefecture",131.43301,33.20428
967-0513,Fukushima Prefecture,"Minamiaizu-cho, Minamiaizu-gun",Large,"Ohara, Minamiaizu-cho, Minamiaizu-gun, Fukushima Prefecture",139.46936,37.13588
949-6431,Niigata Prefecture,Minami Uonuma City,Karakabazawa,"Kabanosawa, Minami Uonuma City, Niigata Prefecture",138.8194,37.0337
603-8406,Kyoto,"Kita-ku, Kyoto",Omiya Higashi Ono Horimachi,"Omiya Higashi Ono Horicho, Kita-ku, Kyoto-shi, Kyoto",135.74475,35.05605
894-0101,Kagoshima prefecture,"Tatsugo-cho, Oshima-gun",House,"Tatsugo-cho, Oshima-gun, Kagoshima Prefecture",129.60086,28.41467
394-0005,Nagano Prefecture,Okaya city,Yamashita Town,"Yamashita-cho, Okaya City, Nagano Prefecture",138.04482,36.06648
997-0841,Yamagata Prefecture,Tsuruoka City,White mountain,"Hakusan, Tsuruoka City, Yamagata Prefecture",139.78197,38.72298
950-0150,Niigata Prefecture,"Gangnam-ku, Niigata City",Shimo-Waden Yanagida,"Niigata City, Niigata City, Konan-ku, Naminan-ku",139.08096,37.87656
923-0853,Ishikawa Prefecture,Komatsu City,Ogimachi,"Ogimachi, Komatsu City, Ishikawa Prefecture",136.45703,36.38651
572-0054,Osaka prefecture,Neyagawa city,Shimokuda Town,"Shimokan-cho, Neyagawa City, Osaka Prefecture",135.60938,34.74849
489-0076,Aichi prefecture,Seto City,Fukagawa town,"Fukagawa Town, Seto City, Aichi Prefecture",137.1021,35.22736
652-0032,Hyogo prefecture,"Hyogo Ward, Kobe",Aranda Town,"Arata-cho, Hyogo-ku, Kobe City, Hyogo Prefecture",135.16721,34.68232
563-0217,Osaka prefecture,"Toyono-cho, Toyono-gun",Riverside,"Kawajiri, Toyono-cho, Toyono-gun, Osaka",135.47679,34.91367
989-2203,Miyagi Prefecture,Watari-gun Yamamoto-cho,Asaohara,"Asohara, Yamamoto-cho, Watari-gun, Miyagi Prefecture",140.8763,37.95516
501-0402,Gifu Prefecture,Cotton city,County,"Motosu City, Gifu Prefecture",136.6881,35.46187
595-0067,Osaka prefecture,Izumi Otsu City,Komatsu Town,"Komatsu-cho, Izumi Otsu City, Osaka Prefecture",135.40628,34.50816
044-0034,Hokkaido,"Kutchan Town, Abuta-gun",South Shijo West,"Minami Shijo Nishi, Kutchancho-cho, Abuta-gun, Hokkaido",140.75125,42.89822
632-0047,Nara Prefecture,Tenri City,Otoki Town,"Otoki-cho, Tenri City, Nara Prefecture",135.84995,34.58205
049-2223,Hokkaido,"Morimachi, Kayabe-gun",East of Sands,"Gosunagohigashi, Morin-cho, Kayabe-gun, Hokkaido",140.72235,42.12425
969-1161,Fukushima Prefecture,Main shrine,Main shrine missing,"Motomiya Motomiya City, Fukushima Prefecture",140.39116,37.52112
948-0084,Niigata Prefecture,Tokamachi City,Shichikencho,"Tokamachi City, Niigata Prefecture, Shichikencho",138.75891,37.13183
356-0057,Saitama,Fujimino City,Ichizawa,"Fujimino City, Saitama Prefecture Ichizawa",139.52361,35.8536
722-2405,Hiroshima,Onomichi,Setoda-cho Fukuda,"Fukuda, Setida-cho, Onomichi City, Hiroshima Prefecture",133.08878,34.28844
927-0047,Ishikawa Prefecture,"Anamizu-cho, Hanging District",In the upper part,"Upper in Anamizu-cho, Otori-gun, Ishikawa Prefecture",136.81322,37.24323
979-0514,Fukushima Prefecture,"Naraha-cho, Futaba-gun",Undergow,"Shimo-Kohana, Naraha-cho, Futaba-gun, Fukushima Prefecture",140.98972,37.26304
036-8151,Aomori Prefecture,Hirosaki City,North garden,"Kitaen, Hirosaki City, Aomori Prefecture",140.47986,40.58139
666-0129,Hyogo prefecture,Kawanishi City,Green platform,"Kawanishi City, Hyogo Prefecture Midai",135.40581,34.86586
988-0022,Miyagi Prefecture,Kesennuma City,Riverbar field,"Kawabata, Kesennuma City, Miyagi Prefecture",141.57622,38.90092
649-5332,Wakayama Prefecture,"Nachi Katsuura-cho, Higashimuro-gun",Morning sun,"Asahi, Nachi Katsuura-cho, Higashimuro-gun, Wakayama Prefecture",135.938,33.62825
501-1115,Gifu Prefecture,Gifu City,Person in a person,"Gifu City, Gifu Prefecture",136.74121,35.46885
059-0551,Hokkaido,Noboribetsu city,Noboribetsu Onsen Town,"Noboribetsu Onsen Town, Hokkaido City",141.14275,42.49936
440-0044,Aichi prefecture,Toyohashi City,Miyashita Town,"Miyashita Town, Toyohashi City, Aichi Prefecture",137.41696,34.76063
259-1206,Kanagawa Prefecture,Hiratsuka City,Sashimi,"Sanada, Hiratsuka City, Kanagawa Prefecture",139.27672,35.3693
033-0112,Aomori Prefecture,Misawa city,Hosoya,"Hosoya, Misawa City, Aomori Prefecture",141.40904,40.75491
447-0833,Aichi prefecture,Hekinan City,Gongen Town,"Gongencho, Hekinan City, Aichi Prefecture",136.96718,34.85413
993-0061,Yamagata Prefecture,Nagai City,Temple spring,"Teraizumi, Nagai City, Yamagata Prefecture",139.96091,38.12306
470-0200,Aichi prefecture,Miyoshi City,,"Miyoshi City, Aichi Prefecture",137.07474,35.08933
763-0066,Kagawa Prefecture,Marugame City,Tenmachi,"Tenmacho, Marugame City, Kagawa Prefecture",133.77879,34.28297
528-0057,Shiga Prefecture,Koga city,"Kitawaki, Mizuguchi-cho","Kitawawaki, Mizuguchi-cho, Koga City, Shiga Prefecture",136.15143,34.97883
270-0142,Chiba prefecture,Nagareyama City,Nishimatsu Kaoka,"Nishimatsu Kaoka, Nagareyama City, Chiba Prefecture",139.9446,35.84583
018-0301,Akita,Nikaho,Flying,Akita Prefecture Nikaho City,139.91829,39.26849
355-0034,Saitama,Higashimatsuyama City,Kashiwazaki,"Kashiwazaki, Higashi-Matsuyama City, Saitama Prefecture",139.42526,36.02441
470-2217,Aichi prefecture,"Aku-cho, Chita-gun",Minami Usaka,"Aki-cho, Chita-gun, Aichi, Usaka Minami",136.91115,34.93454
919-2351,Fukui prefecture,"Takahama-cho, Oi-gun",In the mountains,"Yamanaka, Takahama-cho, Oi-gun, Fukui Prefecture",135.47139,35.52055
910-1315,Fukui prefecture,"Eiheiji-cho, Yoshida-gun",Jerseous,"Eiheiji-cho, Yoshida-gun, Fukui Prefecture Seseragi",136.39494,36.07356
739-1806,Hiroshima,Akitakada City,Takamiya-cho Misaki Miki,"Akitakada-shi, Hiroshima, Takamiya-cho, Takamiya-cho",132.67162,34.75756
577-0842,Osaka prefecture,Higashi-Osaka City,Southern feet,"Higashi Osaka City, Osaka Prefecture Football South",135.56477,34.6609
728-0503,Hiroshima,Shobara City,Kagawa-cho Otsuki,"Otsuki Otsuki, Gokawa-cho, Shobara-shi, Hiroshima",132.88181,34.90728
669-2503,Hyogo prefecture,Tamba Sasayama City,Shimohara Mountain,"Shimohara Mountain, Tamba Sasayama City, Hyogo Prefecture",135.38254,35.08501
949-2223,Niigata Prefecture,Myoko city,Barrel book,"Tarumoto, Myoko City, Niigata Prefecture",138.27356,36.87863
929-1114,Ishikawa Prefecture,Kahoku city,Karano,"Kano, Kahoku City, Ishikawa Prefecture",136.71335,36.70879
856-0826,Nagasaki Prefecture,Omura City,Higashi Miki Town,"Higashi Miki-cho, Omura City, Nagasaki Prefecture",129.95914,32.91106
987-0345,Miyagi Prefecture,Tome city,Toyosato-cho Nakatani,"Nakatani, Toyosato-cho, Tome City, Miyagi Prefecture",141.28741,38.60531
657-0102,Hyogo prefecture,Kobe City Nada Ward,Fabric,"Mt. Hatahara, Nada-ku, Kobe City, Hyogo Prefecture",135.21538,34.72445
300-2436,Ibaraki Prefecture,Tsukuba Mirai City,Silk platform,Ibaraki Prefecture Kinu no Odai,139.97881,35.97985
702-8022,Okayama Prefecture,"Minami-ku, Okayama City",Goodbye,"Fukunari Minami-ku, Okayama City, Okayama Prefecture",133.93353,34.61588
987-0404,Miyagi Prefecture,Tome city,Minamikata-cho Shinmaru Nouchi,"Shin-Marinouchi, Minamikata-cho, Tome City, Miyagi Prefecture",141.18033,38.68409
666-0152,Hyogo prefecture,Kawanishi City,Maruyama Odai,"Maruyamadai, Kawanishi City, Hyogo Prefecture",135.40674,34.90979
666-0006,Hyogo prefecture,Kawanishi City,Hagiwamidai Sai,"2-chome, Hagiwatadai, Kawanishi City, Hyogo Prefecture",135.40765,34.84641
666-0241,Hyogo prefecture,"Inagawa-cho, Kawabe-gun",Pavilion,"Uchibaba, Inagawa-cho, Inagawa-cho, Kawabe-gun, Hyogo Prefecture",135.40265,34.92007
912-0013,Fukui prefecture,Ohno city,Donation,"Domoto, Ono City, Fukui Prefecture",136.51102,35.99496
800-0228,Fukuoka Prefecture,"Kokura Minami-ku, Kitakyushu",Nagano,"Nagano, Kokura Minami-ku, Kitakyushu City, Fukuoka Prefecture",130.90811,33.81301
509-9232,Gifu Prefecture,Nakatsugawa City,Hill,"Sakashita, Nakatsugawa City, Gifu Prefecture",137.5128,35.57402
520-3251,Shiga Prefecture,Hunan City,Morning country,"Morning Country, Honan City, Shiga Prefecture",136.11993,34.99001
915-0061,Fukui prefecture,Echizen city,Horikawa Town,"Horikawa-cho, Echizen City, Fukui Prefecture",136.17287,35.89932
271-0074,Chiba prefecture,Matsudo City,Green Kaoka,"Midorigaoka, Matsudo City, Chiba Prefecture",139.91055,35.78633
374-0076,Gunma Prefecture,Tatebayashi,Hyuga Town,"Hinata Town, Tatebayashi City, Gunma Prefecture",139.50215,36.26704
278-0027,Chiba prefecture,Noda City,Mizuki,"Mizuki, Noda City, Chiba Prefecture",139.88319,35.92517
859-5376,Nagasaki Prefecture,Hirado City,Oishiwaki-cho,"Oishiwaki-cho, Hirado City, Nagasaki Prefecture",129.46185,33.30719
301-0803,Ibaraki Prefecture,Ryugasaki City,Kodo Town,"Kodomido-cho, Ryugasaki City, Ibaraki Prefecture",140.24385,35.91684
637-0239,Nara Prefecture,Gojo City,Nishi-Yoshino-cho Yun,"Nishi-Yoshino-cho, Gojo City, Nara Prefecture",135.76183,34.28028
492-8083,Aichi prefecture,Inazawa city,Shimotsumori Town,"Shimotsumori-cho, Inazawa City, Aichi Prefecture",136.82462,35.25194
599-8275,Osaka prefecture,"Naka-ku, Sakai-shi",East Hall,"Higashi-Haida, Naka-ku, Sakai-shi, Osaka",135.49635,34.52472
781-2102,Kochi Prefecture,"Ino town, Agawa-gun",Park town,"Koen-cho, Inunocho, Agawa-gun, Kochi Prefecture",133.42253,33.54866
043-0022,Hokkaido,"Esashi-cho, Hiyama-gun",Fushikido Town,"Fushikido-cho, Esashi-cho, Hiyama-gun, Hokkaido",140.14407,41.91129
163-0608,Tokyo,Shinjuku ward,Nishi-Shinjuku,"Shinjuku-ku, Tokyo Nishi-Shinjuku Center Building 8th floor",139.68762,35.68754
366-0819,Saitama,Fukaya city,Paradise,"Saiku-cho, Fukaya City, Saitama Prefecture",139.26601,36.19311
350-1147,Saitama,Kawagoe City,Suwa Town,"Suwa Town, Kawagoe City, Saitama Prefecture",139.49998,35.87949
781-6433,Kochi Prefecture,"Yasuda-cho, Aki-gun",Nakanogawa,"Nakanogawa, Yasuda-cho, Aki-gun, Kochi Prefecture",133.99907,33.50418
355-0164,Saitama,"Yoshimi-cho, Hiki-gun",Small pulp,"Koshinai, Yoshimi-cho, Hiki-gun, Saitama",139.45319,36.05545
969-1206,Fukushima Prefecture,Main shrine,Row house,"Nagaya, Motomiya City, Fukushima Prefecture",140.47275,37.52084
719-0233,Okayama Prefecture,Asaguchi city,On the ground of Kamokata Town,"On the ground of Kamokata-cho, Asaguchi City, Okayama Prefecture",133.59319,34.55948
049-1782,Hokkaido,"Matsumae-cho, Matsumae-gun",Takanori,"Takano, Matsumae-cho, Matsumae-gun, Hokkaido",140.10143,41.54638
879-6865,Oita Prefecture,Bungo Ono City,"Oihei mine, Ogata-cho","Oihei mine, Ogata-cho, Bungo-Ohno-shi, Oita",131.3918,32.8254
098-0339,Hokkaido,"Kenbuchi-cho, Kamikawa-gun",Nishihara Town,"Nishihara-cho, Kenbuchi-cho, Kamikawa-gun, Hokkaido",142.31468,44.15251
455-0822,Aichi prefecture,"Minato-ku, Nagoya",Jinbei,"Jinbei, Minato-ku, Nagoya-shi, Aichi",136.84645,35.10595
758-0302,Yamaguchi Prefecture,Hagi-shi,Takasaka,"Takasa-shi, Hagi City, Yamaguchi Prefecture",131.59891,34.48029
756-0017,Yamaguchi Prefecture,Sanyo Onoda City,On the Niho,"On the Niho, Sanyo Onoda City, Yamaguchi Prefecture",131.18259,34.00336
679-2303,Hyogo prefecture,"Ichikawa-cho, Kanzaki-gun",Kazuki Kamise,"Kamiseka, Ichikawa-cho, Kanzaki-gun, Hyogo Prefecture",134.80338,34.99289
519-2700,Mie Prefecture,"Daiki-cho, Gathering District",,"Daiki-cho, Mie Prefectural Association District",136.4221,34.36499
491-0376,Aichi prefecture,Ichinomiya City,Hagiwara Town Kusaku,"Hagiwara-cho Kusaku, Ichinomiya City, Aichi Prefecture",136.75793,35.27745
969-0401,Fukushima Prefecture,"Kagamiishi-cho, Iwase-gun",Nanpataka,"Minamitaka Kuda, Kagami, Iwase-gun, Fukushima Prefecture",140.36024,37.26209
003-0012,Hokkaido,"Shiraishi-ku, Sapporo",Central 2 Article,"Chuo Nijo, Shiraishi-ku, Sapporo, Hokkaido",141.39262,43.05958
991-0043,Yamagata Prefecture,Sagae City,island,"Island, Sagae City, Yamagata Prefecture",140.27028,38.35948
289-1334,Chiba prefecture,Sanmu City,Wada,"Wada, Sanmu City, Chiba Prefecture",140.40186,35.6132
314-0131,Ibaraki Prefecture,Kamisu city,Lower border,"Shimohataki, Kamisu City, Ibaraki Prefecture",140.62219,35.9176
415-0153,Shizuoka Prefecture,"Minamiizu-cho, Kamo-gun",Hand stone,"Hand stone, Minamiizu-cho, Kamo-gun, Shizuoka Prefecture",138.87891,34.63544
999-7775,Yamagata Prefecture,Sakata City,Deceased,"Shimonome, Sakata City, Yamagata Prefecture",139.84476,38.88177
105-6240,Tokyo,Minato-ku,Atago,"Atago, Minato-ku, Tokyo Atago Green Hills MORI Tower 40th floor",139.74821,35.66285
999-7736,Yamagata Prefecture,"Shonai-cho, Higashidagawa-gun",Fukushima,"Fukushima, Shonai-cho, Higashidagawa-gun, Yamagata Prefecture",139.94237,38.79792
959-2022,Niigata Prefecture,Agano city,Outer castle town,"Agano City, Niigata Prefecture Genjo-cho",139.23326,37.83851
926-0826,Ishikawa Prefecture,Nanao City,Iiikawa-cho,"Iiikawa-cho, Nanao City, Ishikawa Prefecture",136.9366,37.00452
969-0224,Fukushima Prefecture,"Yabuki-cho, Nishishirakawa-gun",Okubo,"Okubo, Yaibuki-cho, Nishishirakawa-gun, Fukushima Prefecture",140.33733,37.18302
939-1123,Toyama Prefecture,Takaoka City,Door to door,"Takaoka City, Toyama Prefecture Takaoka City",136.97194,36.6677
744-0011,Yamaguchi Prefecture,Shimomatsu City,Nishi-Toyoi,"Nishitoi Asaicho, Shimomatsu City, Yamaguchi Prefecture",131.87376,34.01401
986-0835,Miyagi Prefecture,Ishinomaki city,South beach town,"Minamihama-cho, Ishinomaki City, Miyagi Prefecture",141.30112,38.41777
501-1504,Gifu Prefecture,Cotton city,Neo Tenjingudo,"Motosu City, Gifu Prefecture",136.58148,35.67302
483-8305,Aichi prefecture,Gangnam City,Miyata Town Rawhara,"Ikuhara, Miyata-cho, Konan City, Aichi Prefecture",136.85556,35.35841
735-0005,Hiroshima,"Fuchu-cho, Aki-gun",Palace town,"Fuchu-cho, Aki-gun, Hiroshima Prefecture",132.50804,34.3942
039-2784,Aomori Prefecture,"Shichinohe-cho, Kamikita-gun",Nakazawa Shimoshita,"Nagasawa Shimoshita, Nakagami, Shichino-cho, Kamikita-gun, Aomori Prefecture",141.18469,40.71478
950-3123,Niigata Prefecture,"Kita-ku, Niigata",Niimimoto Town,"Niigata-shi, Niigata-shi, Niimotojima-cho",139.14438,37.94508
828-0043,Fukuoka Prefecture,Buzen City,Shore,"Kishii, Buzen City, Fukuoka Prefecture",131.1375,33.59505
